rank,name,small_img_url_works,big_img_url_might work
"
63
","
twenty one pilots
",https://charts-static.billboard.com/img/2015/04/twenty-one-pilots-840-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
64
","
Billy Ray Cyrus
",https://charts-static.billboard.com/img/2008/12/billy-ray-cyrus-eni-artist-chart-duh-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
65
","
Chris Stapleton
",https://charts-static.billboard.com/img/2015/02/chris-stapleton-ha2-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
66
","
Summer Walker
",https://charts-static.billboard.com/img/2018/09/summer-walker-1sj-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
67
","
Morgan Wallen
",https://charts-static.billboard.com/img/2018/01/morgan-wallen-ur7-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
68
","
Bastille
",https://charts-static.billboard.com/img/2013/12/bastille-p0b-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
69
","
Offset
",https://charts-static.billboard.com/img/2017/09/offset-cdz-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
70
","
Trippie Redd
",https://charts-static.billboard.com/img/2017/09/trippie-redd-q58-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
71
","
Tyler, The Creator
",https://charts-static.billboard.com/img/2011/12/tyler-the-creator-556-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
72
","
Future
",https://charts-static.billboard.com/img/1988/03/future-f8b-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
73
","
Lil Wayne
",https://charts-static.billboard.com/img/2017/08/lil-wayne-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
74
","
Blake Shelton
",https://charts-static.billboard.com/img/2017/02/blake-shelton-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
75
","
Justin Bieber
",https://charts-static.billboard.com/img/2009/07/justin-bieber-4oh-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
76
","
City Girls
",https://charts-static.billboard.com/img/2018/12/city-girls-7fe-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
77
","
Blueface
",https://charts-static.billboard.com/img/2018/12/blueface-2aw-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
78
","
Carrie Underwood
",https://charts-static.billboard.com/img/1840/12/carrie-underwood-obd-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
79
","
Kanye West
",https://charts-static.billboard.com/img/2017/04/kanye-west-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
80
","
DJ Khaled
",https://charts-static.billboard.com/img/2006/12/dj-khaled-igg-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
81
","
Billy Joel
",https://charts-static.billboard.com/img/1840/12/billy-joel-wt1-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
82
","
Eagles
",https://charts-static.billboard.com/img/2017/08/eagles-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
83
","
Backstreet Boys
",https://charts-static.billboard.com/img/1840/12/backstreet-boys-7gl-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
84
","
Paul McCartney
",https://charts-static.billboard.com/img/1970/12/paul-mccartney-ntf-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
85
","
Megan Thee Stallion
",https://charts-static.billboard.com/img/2019/03/megan-thee-stallion-fnn-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
86
","
Maren Morris
",https://charts-static.billboard.com/img/2016/02/maren-morris-knd-artist-chart-413-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
87
","
Bazzi
",https://charts-static.billboard.com/img/2018/01/bazzi-3p6-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
88
","
Mustard
",https://charts-static.billboard.com/img/2019/02/dj-mustard-jvk-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
89
","
6ix9ine
",https://charts-static.billboard.com/img/2017/12/6ix9ine-dc4-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
90
","
Kendrick Lamar
",https://charts-static.billboard.com/img/2012/11/kendrick-lamar-h1y-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
